,0,1,2,3
0,,I,I,2015
1,,,,
2,,,,
3,,,,
4,,,,
5,,pri,pri,2015
6,,,,
7,,Seg,Seg,2014
8,,Pri,Pri,2015
9,,pri,pri,2015
10,2015,01S,,
11,2015,01,,
12,,PRI,PRI,15
13,,PRI,PRI,2015
14,,pri,pri,2015
15,,seg,seg,2014
16,,PRI,PRI,2015
17,,Seg,Seg,2014
18,,pri,pri,2015
19,,pri,pri,2015
20,,seg,seg,2014
21,,Pri,Pri,2015
22,2014,02S,,
23,,PRI,PRI,2015
24,,PRI,PRI,2015
25,,Seg,Seg,2014
26,,seg,seg,2014
27,,seg,seg,2014
28,,PRI,PRI,2015
29,,pri,pri,2015
30,,PRI,PRI,2015
31,,,,
32,,,,
33,2014,02s,,
34,,pri,pri,2015
35,,Pri,Pri,2015
36,,SEG,SEG,2014
37,,SEG,SEG,2014
38,2014,02,,
39,2015,01S,,
40,,seg,seg,14
41,,seg,seg,2014
42,,SEG,SEG,2014
43,,SEG,SEG,2014
44,,PRI,PRI,2014
45,,Seg,Seg,2014
46,,SEG,SEG,2014
47,2015,01S,,
48,,,,
49,,seg,seg,2014
50,2014,2,,
51,,seg,seg,2014
52,,Pri,Pri,2015
53,2015,01S,,
54,,pri,pri,2015
55,,,,
56,,II,II,2014
57,,pri,pri,15
58,,seg,seg,2014
59,,Pri,Pri,2015
60,2015,01S,,
61,,,,
62,2014,2,,
63,,PRI,PRI,2105
64,,pri,pri,2015
65,,PRI,PRI,2015
66,,PRI,PRI,2015
67,,Seg,Seg,2014
68,,Seg,Seg,2014
69,,,,
70,,Pri,Pri,2015
71,,Pri,Pri,15
72,,PRI,PRI,2015
73,,,,
74,,SEG,SEG,2015
75,,seg,seg,2014
76,,PRI,PRI,15
77,,II,II,2014
78,,pri,pri,2015
79,2015,01S,,
80,2014,02S,,
81,,seg,seg,2014
82,,PRI,PRI,2015
83,,seg,seg,2014
84,,Seg,Seg,2014
85,,seg,seg,2014
86,,,,
87,2014,02s,,
88,,seg,seg,2014
89,,pri,pri,2015
90,,,,
91,2015,1S,,
92,2014,II,,
93,,seg,seg,2014
94,2014,02S,,
95,,pri,pri,2015
96,,seg,seg,2014
97,,,,
98,,seg,seg,2014
99,2014,02,,
100,,Seg,Seg,2014
101,,Seg,Seg,2014
102,,,,
103,,,,
104,,Seg,Seg,2014
105,,pri,pri,2015
106,,Pri,Pri,2015
107,2015,01S,,
108,,pri,pri,2015
109,,PRI,PRI,15
110,2015,01S,,
111,,pri,pri,2014
112,,seg,seg,2014
113,,,,
114,2015,01,,
115,,Seg,Seg,2014
116,,PRI,PRI,2015
117,,seg,seg,14
118,,,,
119,,SEG,SEG,2014
120,,II,II,2014
121,,I,I,2015
122,,seg,seg,14
123,,seg,seg,2014
124,,,,
125,,seg,seg,2014
126,,pri,pri,2015
127,,pri,pri,2015
128,,Seg,Seg,2014
129,,SEG,SEG,2014
130,2014,II,,
131,,,,
132,,,,
133,,Seg,Seg,2014
134,,PRI,PRI,2015
135,,SEG,SEG,14
136,2015,1,,
137,,,,
138,,seg,seg,2014
139,,,,
140,,Pri,Pri,2014
141,,,,
142,,,,
143,,,,
144,2014,02S,,
145,,I,I,2015
146,,SEG,SEG,2014
147,,seg,seg,2014
148,,,,
149,,,,
150,,SEG,SEG,2014
151,,SEG,SEG,2014
152,,Seg,Seg,2014
153,,Pri,Pri,2015
154,2015,01S,,
155,,,,
156,,,,
157,2014,02S,,
158,,,,
159,,pri,pri,15
160,,,,
161,,,,
162,,Pri,Pri,2015
163,,Pri,Pri,15
164,,,,
165,,Pri,Pri,2014
166,,,,
167,,pri,pri,2015
168,,,,
169,,,,
170,,,,
171,,,,
172,,Pri,Pri,2015
173,2015,01s,,
174,2015,1,,
175,,pri,pri,2015
176,,,,
177,,II,II,2014
178,,PRI,PRI,2015
179,,,,
180,,,,
181,,I,I,2015
182,,SEG,SEG,14
183,,I,I,2015
184,,,,
185,,,,
186,,,,
187,,seg,seg,2015
188,,seg,seg,2014
189,,Seg,Seg,2014
